start,end,month,tavg,tmin,tmax,prcp,wspd,pres,tsun
1981,2010,1,,,,36.1,,,
1981,2010,2,,,,25.7,,,
1981,2010,3,,,,30.4,,,
1981,2010,4,,,,36.1,,,
1981,2010,5,,,,44.6,,,
1981,2010,6,,,,81.8,,,
1981,2010,7,,,,94.6,,,
1981,2010,8,,,,105.3,,,
1981,2010,9,,,,135.0,,,
1981,2010,10,,,,80.7,,,
1981,2010,11,,,,59.2,,,
1981,2010,12,,,,45.0,,,
1991,2020,1,-21.2,-26.6,-15.9,35.6,,1013.2,
1991,2020,2,-20.9,-27.3,-14.5,22.9,,1013.8,
1991,2020,3,-14.6,-21.9,-7.3,28.7,,1017.5,
1991,2020,4,-4.4,-10.5,1.6,31.8,,1015.4,
1991,2020,5,4.6,-1.6,10.8,46.7,,1015.2,
1991,2020,6,11.6,5.0,18.2,77.3,,1012.4,
1991,2020,7,15.0,9.2,20.7,115.5,,1009.8,
1991,2020,8,13.4,8.1,18.8,104.0,,1011.4,
1991,2020,9,8.7,4.1,13.3,121.1,,1012.5,
1991,2020,10,2.4,-0.9,5.7,77.1,,1012.5,
1991,2020,11,-5.8,-9.0,-2.5,58.1,,1012.5,
1991,2020,12,-16.0,-20.7,-11.4,41.7,,1014.3,
