start,end,month,tavg,tmin,tmax,prcp,wspd,pres,tsun
1981,2010,1,-10.4,-14.1,-6.8,,,,
1981,2010,2,-8.8,-12.6,-5.1,,,,
1981,2010,3,-4.2,-8.0,-0.5,,,,
1981,2010,4,2.8,-0.6,6.3,,,,
1981,2010,5,8.2,3.9,12.4,,,,
1981,2010,6,12.8,8.1,17.6,,,,
1981,2010,7,15.6,11.0,20.2,,,,
1981,2010,8,14.9,10.3,19.5,,,,
1981,2010,9,11.4,7.1,15.7,,,,
1981,2010,10,6.1,2.9,9.3,,,,
1981,2010,11,1.0,-1.7,3.8,,,,
1981,2010,12,-5.1,-8.2,-2.1,,,,
1991,2020,1,-10.0,-13.7,-6.4,78.6,,,
1991,2020,2,-9.2,-13.0,-5.5,57.9,,,
1991,2020,3,-4.4,-8.1,-0.6,71.7,,,
1991,2020,4,2.4,-1.2,5.9,65.3,,,
1991,2020,5,8.2,3.9,12.6,72.4,,,
1991,2020,6,13.0,8.2,17.7,71.3,,,
1991,2020,7,15.8,11.1,20.6,84.5,,,
1991,2020,8,15.2,10.6,19.9,62.0,,,
1991,2020,9,11.6,7.3,15.8,93.2,,,
1991,2020,10,6.2,2.9,9.5,92.7,,,
1991,2020,11,0.8,-2.0,3.7,79.9,,,
1991,2020,12,-5.4,-8.4,-2.3,81.0,,,
