start,end,month,tavg,tmin,tmax,prcp,wspd,pres,tsun
1981,2010,1,-15.2,-19.8,-10.7,,,,
1981,2010,2,-14.3,-19.4,-9.2,,,,
1981,2010,3,-6.2,-11.3,-1.1,,,,
1981,2010,4,3.0,-1.4,7.4,,,,
1981,2010,5,9.2,5.0,13.5,,,,
1981,2010,6,16.0,12.0,20.0,,,,
1981,2010,7,19.7,15.3,24.1,,,,
1981,2010,8,18.4,14.2,22.7,,,,
1981,2010,9,13.6,9.5,17.6,,,,
1981,2010,10,5.7,2.2,9.2,,,,
1981,2010,11,-2.2,-5.6,1.2,,,,
1981,2010,12,-12.2,-16.3,-8.2,,,,
1991,2020,1,-15.4,-20.0,-10.9,,,,
1991,2020,2,-14.3,-19.3,-9.3,,,,
1991,2020,3,-6.3,-11.4,-1.2,,,,
1991,2020,4,1.9,-2.6,6.4,,,,
1991,2020,5,9.6,5.3,14.0,,,,
1991,2020,6,16.4,12.4,20.5,,,,
1991,2020,7,20.2,15.7,24.6,,,,
1991,2020,8,18.8,14.3,23.3,,,,
1991,2020,9,13.6,9.4,17.8,,,,
1991,2020,10,5.5,2.1,8.9,,,,
1991,2020,11,-3.0,-6.5,0.4,,,,
1991,2020,12,-12.2,-16.1,-8.2,,,,
