start,end,month,tavg,tmin,tmax,prcp,wspd,pres,tsun
1961,1990,1,-11.3,-16.7,-5.9,19.2,,,
1961,1990,2,-7.6,-13.1,-2.1,11.5,,,
1961,1990,3,-2.2,-8.1,3.7,15.8,,,
1961,1990,4,6.0,-1.1,13.0,26.9,,,
1961,1990,5,12.0,4.8,19.2,39.1,,,
1961,1990,6,16.6,9.4,23.9,59.2,,,
1961,1990,7,19.4,11.7,27.2,36.5,,,
1961,1990,8,18.7,10.8,26.6,31.7,,,
1961,1990,9,12.7,5.2,20.2,35.9,,,
1961,1990,10,7.2,-0.0,14.3,14.9,,,
1961,1990,11,-2.7,-8.3,3.0,15.0,,,
1961,1990,12,-9.6,-14.8,-4.3,18.9,,,
1971,2000,1,-10.8,-16.1,-5.5,14.9,,,
1971,2000,2,-7.1,-12.3,-1.9,10.0,,,
1971,2000,3,-1.4,-7.2,4.4,18.0,,,
1971,2000,4,6.2,-0.7,13.2,23.7,,,
1971,2000,5,12.0,4.9,19.0,44.5,,,
1971,2000,6,16.2,9.2,23.3,58.3,,,
1971,2000,7,19.1,11.6,26.6,34.9,,,
1971,2000,8,18.6,10.9,26.3,34.1,,,
1971,2000,9,12.6,5.3,20.0,31.6,,,
1971,2000,10,6.6,-0.3,13.5,15.8,,,
1971,2000,11,-2.9,-8.3,2.6,14.7,,,
1971,2000,12,-9.0,-14.2,-3.7,17.2,,,
1981,2010,1,-9.4,-14.6,-4.1,13.2,,,
1981,2010,2,-6.6,-11.9,-1.2,8.7,,,
1981,2010,3,-0.8,-6.5,5.0,17.6,,,
1981,2010,4,6.3,-0.7,13.3,20.3,,,
1981,2010,5,11.8,4.8,18.8,41.5,,,
1981,2010,6,16.1,9.3,22.9,64.3,,,
1981,2010,7,19.5,11.8,27.1,34.4,,,
1981,2010,8,18.8,11.0,26.6,30.4,,,
1981,2010,9,12.8,5.5,20.0,31.9,,,
1981,2010,10,6.4,-0.4,13.1,15.8,,,
1981,2010,11,-2.3,-7.7,3.1,13.8,,,
1981,2010,12,-8.2,-13.3,-3.0,15.6,,,
1991,2020,1,-10.2,-15.5,-4.9,12.7,,,
1991,2020,2,-6.5,-11.8,-1.2,9.9,,,
1991,2020,3,-0.9,-6.8,5.0,15.3,,,
1991,2020,4,6.0,-0.8,12.9,20.5,,,
1991,2020,5,11.4,4.5,18.4,41.7,,,
1991,2020,6,15.7,9.1,22.3,74.5,,,
1991,2020,7,19.5,11.8,27.1,30.7,,,
1991,2020,8,18.7,10.9,26.5,30.1,,,
1991,2020,9,13.0,5.6,20.4,26.5,,,
1991,2020,10,6.1,-0.6,12.8,16.5,,,
1991,2020,11,-1.9,-7.4,3.6,12.9,,,
1991,2020,12,-7.6,-12.9,-2.3,14.8,,,
