start,end,month,tavg,tmin,tmax,prcp,wspd,pres,tsun
1961,1990,1,-5.0,-8.4,-1.6,51.0,,,
1961,1990,2,-4.0,-7.6,-0.4,54.0,,,
1961,1990,3,1.6,-2.4,5.5,75.0,,,
1961,1990,4,7.9,3.1,12.7,81.0,,,
1961,1990,5,14.3,9.1,19.5,80.0,,,
1961,1990,6,19.6,14.6,24.7,81.0,,,
1961,1990,7,22.0,17.1,27.0,92.0,,,
1961,1990,8,21.0,16.3,25.8,82.0,,,
1961,1990,9,17.4,12.6,22.1,85.0,,,
1961,1990,10,11.0,6.6,15.3,59.0,,,
1961,1990,11,4.8,1.5,8.1,78.0,,,
1961,1990,12,-1.8,-4.8,1.3,83.0,,,
1981,2010,1,,,-0.6,,,,
1981,2010,2,,,0.2,,,,
1981,2010,3,,,5.9,,,,
1981,2010,4,,,14.3,,,,
1981,2010,5,,,19.3,,,,
1981,2010,6,,,25.2,,,,
1981,2010,7,,,27.9,,,,
1981,2010,8,,,26.7,,,,
1981,2010,9,,,23.0,,,,
1981,2010,10,,,15.7,,,,
1981,2010,11,,,9.1,,,,
1981,2010,12,,,1.2,,,,
1991,2020,1,-3.6,-7.0,-0.2,57.3,,1018.0,
1991,2020,2,-2.8,-6.4,0.8,58.6,,1017.6,
1991,2020,3,1.8,-2.4,6.0,73.6,,1018.7,
1991,2020,4,8.2,3.0,13.4,79.9,,1014.5,
1991,2020,5,14.6,9.6,19.7,88.3,,1014.5,
1991,2020,6,20.3,15.3,25.3,70.8,,1012.8,
1991,2020,7,22.7,17.5,27.9,75.8,,1014.0,
1991,2020,8,21.5,16.6,26.4,76.2,,1014.5,
1991,2020,9,18.0,13.0,23.0,75.8,,1016.7,
1991,2020,10,11.4,7.1,15.8,67.6,,1015.9,
1991,2020,11,5.3,1.5,9.1,69.0,,1019.0,
1991,2020,12,-0.9,-4.1,2.2,65.6,,1018.0,
