start,end,month,tavg,tmin,tmax,prcp,wspd,pres,tsun
1961,1990,1,-8.4,-13.5,-3.4,97.2,,,
1961,1990,2,-9.2,-14.9,-3.5,71.0,,,
1961,1990,3,-5.0,-10.6,0.7,70.5,,,
1961,1990,4,1.2,-3.5,6.0,60.6,,,
1961,1990,5,6.7,0.8,12.6,69.5,,,
1961,1990,6,12.0,5.4,18.7,81.6,,,
1961,1990,7,16.4,9.8,23.0,81.1,,,
1961,1990,8,15.4,9.3,21.6,100.6,,,
1961,1990,9,10.6,4.9,16.4,91.6,,,
1961,1990,10,5.2,0.5,10.0,104.4,,,
1961,1990,11,0.7,-3.0,4.4,102.8,,,
1961,1990,12,-5.2,-9.4,-0.9,104.5,,,
1971,2000,1,-8.8,-13.8,-3.7,109.0,,,
1971,2000,2,-9.6,-15.4,-3.9,78.0,,,
1971,2000,3,-4.9,-10.5,0.7,76.1,,,
1971,2000,4,1.4,-3.3,6.1,69.8,,,
1971,2000,5,6.8,0.8,12.7,70.9,,,
1971,2000,6,12.0,5.4,18.7,80.3,,,
1971,2000,7,16.1,9.7,22.5,91.7,,,
1971,2000,8,15.4,9.2,21.6,101.9,,,
1971,2000,9,10.8,5.2,16.5,97.5,,,
1971,2000,10,5.3,0.7,9.9,100.6,,,
1971,2000,11,0.4,-3.1,4.0,97.5,,,
1971,2000,12,-5.4,-9.6,-1.1,108.7,,,
1981,2010,1,-8.3,-13.1,-3.5,116.1,,,
1981,2010,2,-8.6,-14.0,-3.3,87.8,,,
1981,2010,3,-4.9,-10.3,0.6,71.9,,,
1981,2010,4,1.7,-3.1,6.5,66.6,,,
1981,2010,5,6.9,0.9,12.9,77.0,,,
1981,2010,6,12.1,5.6,18.6,82.7,,,
1981,2010,7,16.4,10.1,22.7,97.6,,,
1981,2010,8,15.8,9.7,21.9,110.4,,,
1981,2010,9,11.4,5.7,17.1,98.6,,,
1981,2010,10,5.8,1.1,10.5,93.1,,,
1981,2010,11,0.9,-2.7,4.6,92.5,,,
1981,2010,12,-4.2,-8.1,-0.3,111.2,,,
1991,2020,1,-7.7,-12.4,-3.0,132.1,,,
1991,2020,2,-8.3,-13.6,-3.0,111.5,,,
1991,2020,3,-4.9,-10.4,0.6,82.2,,,
1991,2020,4,1.2,-3.6,6.1,66.5,,,
1991,2020,5,6.8,0.7,13.0,76.4,,,
1991,2020,6,12.2,5.7,18.6,77.9,,,
1991,2020,7,16.5,10.1,22.9,100.6,,,
1991,2020,8,16.2,10.1,22.4,110.3,,,
1991,2020,9,11.6,5.8,17.5,104.3,,,
1991,2020,10,6.1,1.3,10.9,101.5,,,
1991,2020,11,1.3,-2.4,5.0,99.3,,,
1991,2020,12,-3.6,-7.4,0.1,120.7,,,
