start,end,month,tavg,tmin,tmax,prcp,wspd,pres,tsun
1991,2020,1,-17.0,-22.8,-11.3,30.4,,1015.7,
1991,2020,2,-16.1,-23.2,-9.0,31.2,,1017.1,
1991,2020,3,-8.6,-16.3,-1.0,46.6,,1018.8,
1991,2020,4,-0.3,-7.1,6.5,51.7,,1015.7,
1991,2020,5,8.5,1.4,15.6,72.4,,1015.3,
1991,2020,6,14.2,7.1,21.4,76.3,,1012.8,
1991,2020,7,17.4,10.8,24.0,88.1,,1011.7,
1991,2020,8,15.8,9.3,22.3,76.3,,1013.2,
1991,2020,9,11.4,5.5,17.3,101.7,,1015.2,
1991,2020,10,4.1,-0.2,8.3,78.8,,1013.5,
1991,2020,11,-4.4,-8.3,-0.4,54.8,,1015.5,
1991,2020,12,-13.4,-18.5,-8.4,35.1,,1017.0,
