start,end,month,tavg,tmin,tmax,prcp,wspd,pres,tsun
1961,1990,1,-14.7,-20.1,-9.3,86.6,,1011.3,6060.0
1961,1990,2,-13.0,-18.7,-7.4,68.6,,1012.1,7680.0
1961,1990,3,-7.0,-12.1,-1.8,81.2,,1012.7,8856.9
1961,1990,4,-0.1,-4.0,3.8,93.3,,1013.1,9807.7
1961,1990,5,5.8,1.3,10.3,96.0,,1013.8,12816.9
1961,1990,6,11.6,6.8,16.4,91.8,,1011.2,12987.7
1961,1990,7,15.2,10.8,19.6,93.6,,1010.9,14104.6
1961,1990,8,14.2,9.6,18.7,96.7,,1012.3,13756.4
1961,1990,9,9.2,4.7,13.6,111.4,,1014.2,9575.0
1961,1990,10,3.4,-0.8,7.5,100.6,,1014.2,7734.5
1961,1990,11,-2.8,-6.6,1.1,102.1,,1013.2,5912.7
1961,1990,12,-11.0,-15.8,-6.3,106.6,,1013.1,5470.0
1971,2000,1,-15.2,-20.7,-9.7,88.0,,1012.0,6261.8
1971,2000,2,-13.2,-18.8,-7.6,66.9,,1013.1,7763.5
1971,2000,3,-7.0,-11.9,-2.0,88.8,,1013.2,8958.3
1971,2000,4,0.0,-3.7,3.8,98.1,,1013.2,10322.6
1971,2000,5,6.0,1.5,10.4,92.5,,1014.0,12868.7
1971,2000,6,11.8,7.0,16.5,97.4,,1011.5,13715.5
1971,2000,7,15.3,10.9,19.7,98.1,,1010.8,13507.8
1971,2000,8,14.2,9.6,18.9,89.5,,1013.0,13608.0
1971,2000,9,9.4,5.0,13.8,112.6,,1013.5,9480.0
1971,2000,10,3.4,-0.7,7.4,107.2,,1014.7,7091.4
1971,2000,11,-2.9,-6.7,0.9,101.1,,1013.2,5608.6
1971,2000,12,-11.2,-16.0,-6.4,107.9,,1013.1,5214.5
1981,2010,1,-14.8,-20.2,-9.4,78.9,,1012.5,6293.7
1981,2010,2,-13.5,-19.3,-7.7,63.3,,1014.3,7917.0
1981,2010,3,-7.0,-12.0,-2.0,76.3,,1013.8,9159.0
1981,2010,4,0.0,-3.9,3.9,84.4,,1013.5,10488.0
1981,2010,5,6.0,1.4,10.6,85.6,,1014.2,12696.0
1981,2010,6,11.5,6.7,16.4,96.4,,1011.3,13765.3
1981,2010,7,15.2,10.9,19.5,100.0,,1010.9,13527.0
1981,2010,8,14.3,9.6,19.0,82.2,,1013.0,13168.2
1981,2010,9,9.8,5.2,14.3,99.9,,1013.4,9436.7
1981,2010,10,3.6,-0.4,7.7,108.6,,1015.1,7130.5
1981,2010,11,-2.8,-6.6,1.0,114.2,,1013.7,5447.4
1981,2010,12,-10.2,-15.0,-5.4,106.3,,1012.8,5201.1
1991,2020,1,-14.6,-20.0,-9.1,83.0,,1013.4,
1991,2020,2,-13.8,-19.8,-7.9,60.4,,1013.7,
1991,2020,3,-7.0,-12.0,-2.1,76.2,,1013.8,
1991,2020,4,-0.2,-4.1,3.7,77.9,,1013.4,
1991,2020,5,6.0,1.2,10.8,77.1,,1013.5,
1991,2020,6,11.8,6.9,16.7,93.8,,1012.0,
1991,2020,7,15.2,11.0,19.5,112.2,,1010.9,
1991,2020,8,14.8,10.0,19.5,84.0,,1012.5,
1991,2020,9,9.9,5.2,14.6,97.5,,1013.6,
1991,2020,10,4.0,-0.1,8.0,118.7,,1014.9,
1991,2020,11,-2.8,-6.7,1.2,114.4,,1014.1,
1991,2020,12,-9.4,-14.1,-4.7,105.1,,1013.0,
