start,end,month,tavg,tmin,tmax,prcp,wspd,pres,tsun
1961,1990,1,-18.0,-23.5,-12.6,19.0,,,
1961,1990,2,-15.0,-20.8,-9.1,16.0,,,
1961,1990,3,-7.8,-13.5,-2.1,26.0,,,
1961,1990,4,2.6,-3.6,8.8,32.0,,,
1961,1990,5,10.4,3.2,17.7,53.0,,,
1961,1990,6,16.0,9.1,22.9,78.0,,,
1961,1990,7,18.6,11.9,25.3,69.0,,,
1961,1990,8,17.2,10.3,24.2,63.0,,,
1961,1990,9,11.3,4.9,17.7,62.0,,,
1961,1990,10,5.2,-0.6,11.1,31.0,,,
1961,1990,11,-5.4,-10.2,-0.6,23.0,,,
1961,1990,12,-15.0,-20.1,-9.9,21.0,,,
1981,2010,1,-15.6,-20.7,-10.4,,,,
1981,2010,2,-13.8,-19.6,-7.9,,,,
1981,2010,3,-6.8,-12.4,-1.1,,,,
1981,2010,4,4.6,-2.2,11.3,,,,
1981,2010,5,9.6,2.5,16.6,,,,
1981,2010,6,15.4,9.4,21.5,,,,
1981,2010,7,18.6,12.1,25.2,,,,
1981,2010,8,17.6,10.8,24.5,,,,
1981,2010,9,12.5,5.9,19.1,,,,
1981,2010,10,4.8,-0.7,10.2,,,,
1981,2010,11,-4.3,-9.1,0.5,,,,
1981,2010,12,-13.5,-18.4,-8.6,,,,
1991,2020,1,-15.2,-20.3,-10.2,9.7,,,
1991,2020,2,-14.0,-19.7,-8.4,8.2,,,
1991,2020,3,-6.8,-12.5,-1.2,17.4,,,
1991,2020,4,3.3,-3.2,9.8,15.6,,,
1991,2020,5,10.0,3.0,17.0,44.0,,,
1991,2020,6,16.0,9.8,22.1,84.8,,,
1991,2020,7,19.0,12.6,25.4,59.4,,,
1991,2020,8,17.8,10.9,24.7,62.0,,,
1991,2020,9,12.6,6.0,19.1,42.5,,,
1991,2020,10,4.6,-0.7,10.0,29.3,,,
1991,2020,11,-4.8,-9.4,-0.1,17.8,,,
1991,2020,12,-13.0,-17.8,-8.1,9.0,,,
