start,end,month,tavg,tmin,tmax,prcp,wspd,pres,tsun
1961,1990,1,2.7,-0.1,5.4,169.4,,,
1961,1990,2,4.2,1.0,7.3,122.9,,,
1961,1990,3,5.6,1.8,9.4,113.0,,,
1961,1990,4,8.2,3.9,12.5,58.8,,,
1961,1990,5,11.8,7.0,16.5,43.3,,,
1961,1990,6,15.1,10.4,19.8,36.3,,,
1961,1990,7,17.4,12.3,22.5,30.6,,,
1961,1990,8,17.4,12.3,22.4,36.1,,,
1961,1990,9,13.8,9.1,18.5,48.5,,,
1961,1990,10,9.2,5.5,12.9,130.1,,,
1961,1990,11,5.4,2.4,8.4,198.3,,,
1961,1990,12,3.4,0.7,6.0,200.4,,,
1971,2000,1,2.9,0.3,5.6,168.7,,,
1971,2000,2,4.2,1.1,7.2,132.3,,,
1971,2000,3,5.8,2.2,9.5,110.9,,,
1971,2000,4,8.6,4.3,12.8,61.6,,,
1971,2000,5,12.0,7.6,16.5,46.6,,,
1971,2000,6,15.0,10.6,19.4,44.2,,,
1971,2000,7,17.5,12.7,22.4,29.7,,,
1971,2000,8,17.6,12.7,22.5,34.8,,,
1971,2000,9,14.2,9.5,18.8,45.5,,,
1971,2000,10,9.2,5.6,12.9,120.7,,,
1971,2000,11,5.5,2.6,8.4,196.8,,,
1971,2000,12,3.4,0.9,6.0,182.6,,,
1981,2010,1,3.8,1.3,6.4,171.9,,,
1981,2010,2,4.3,1.2,7.4,114.3,,,
1981,2010,3,6.0,2.5,9.6,105.2,,,
1981,2010,4,8.7,4.6,12.8,64.6,,,
1981,2010,5,12.3,8.0,16.6,45.6,,,
1981,2010,6,15.4,11.1,19.8,42.8,,,
1981,2010,7,18.0,13.3,22.7,26.7,,,
1981,2010,8,17.8,13.0,22.7,29.1,,,
1981,2010,9,14.4,9.9,19.0,42.4,,,
1981,2010,10,9.4,6.0,12.9,122.8,,,
1981,2010,11,5.7,2.9,8.5,198.5,,,
1981,2010,12,3.5,1.0,6.0,189.7,,,
1991,2020,1,3.9,1.5,6.3,177.4,,,
1991,2020,2,4.2,1.2,7.2,111.6,,,
1991,2020,3,6.0,2.6,9.5,108.0,,,
1991,2020,4,9.0,5.0,12.9,64.1,,,
1991,2020,5,12.9,8.6,17.2,40.3,,,
1991,2020,6,15.7,11.5,19.9,41.4,,,
1991,2020,7,18.4,13.7,23.1,23.2,,,
1991,2020,8,18.2,13.5,23.0,30.3,,,
1991,2020,9,14.8,10.5,19.1,49.7,,,
1991,2020,10,9.6,6.3,12.9,123.3,,,
1991,2020,11,5.9,3.1,8.7,188.8,,,
1991,2020,12,3.8,1.3,6.2,195.6,,,
