start,end,month,tavg,tmin,tmax,prcp,wspd,pres,tsun
1981,2010,1,-16.8,-21.9,-11.8,14.5,,,
1981,2010,2,-14.6,-20.1,-9.1,10.4,,,
1981,2010,3,-8.0,-13.4,-2.5,20.8,,,
1981,2010,4,3.7,-2.2,9.6,30.1,,,
1981,2010,5,9.2,2.7,15.7,44.1,,,
1981,2010,6,14.6,8.8,20.5,79.4,,,
1981,2010,7,17.5,11.2,23.9,56.2,,,
1981,2010,8,16.4,9.9,23.0,65.5,,,
1981,2010,9,11.3,5.0,17.6,31.1,,,
1981,2010,10,3.6,-1.8,9.1,22.2,,,
1981,2010,11,-6.0,-10.3,-1.6,15.6,,,
1981,2010,12,-14.8,-19.5,-10.1,19.0,,,
1991,2020,1,-16.6,-21.6,-11.5,15.0,,,
1991,2020,2,-15.4,-21.0,-9.9,12.0,,,
1991,2020,3,-8.0,-13.5,-2.6,21.6,,,
1991,2020,4,2.4,-3.3,8.2,25.6,,,
1991,2020,5,9.8,3.2,16.4,42.1,,,
1991,2020,6,15.0,9.1,20.9,85.3,,,
1991,2020,7,17.7,11.4,24.0,57.4,,,
1991,2020,8,16.4,9.9,23.0,62.4,,,
1991,2020,9,11.4,5.1,17.8,31.6,,,
1991,2020,10,3.6,-1.7,8.8,24.5,,,
1991,2020,11,-6.8,-11.0,-2.5,17.4,,,
1991,2020,12,-14.6,-19.2,-9.9,16.4,,,
