start,end,month,tavg,tmin,tmax,prcp,wspd,pres,tsun
1981,2010,1,,-14.6,,,,,
1981,2010,2,,-14.2,,,,,
1981,2010,3,,-10.5,,,,,
1981,2010,4,,-3.3,,,,,
1981,2010,5,,1.7,,,,,
1981,2010,6,,7.4,,,,,
1981,2010,7,,11.9,,,,,
1981,2010,8,,10.8,,,,,
1981,2010,9,,7.0,,,,,
1981,2010,10,,1.6,,,,,
1981,2010,11,,-3.7,,,,,
1981,2010,12,,-9.9,,,,,
1991,2020,1,-10.4,-14.6,-6.2,64.0,,,
1991,2020,2,-10.6,-14.8,-6.3,54.9,,,
1991,2020,3,-6.2,-10.7,-1.8,53.5,,,
1991,2020,4,0.1,-3.8,4.1,72.9,,,
1991,2020,5,6.4,1.8,11.0,66.4,,,
1991,2020,6,12.2,7.5,17.0,65.7,,,
1991,2020,7,16.5,11.8,21.2,77.8,,,
1991,2020,8,16.0,11.5,20.4,77.7,,,
1991,2020,9,11.4,7.2,15.7,63.2,,,
1991,2020,10,5.2,1.6,8.8,104.4,,,
1991,2020,11,-0.7,-3.7,2.4,95.6,,,
1991,2020,12,-6.6,-10.0,-3.2,91.4,,,
