start,end,month,tavg,tmin,tmax,prcp,wspd,pres,tsun
1961,1990,1,,,,38.4,,1012.4,
1961,1990,2,,,,30.0,,1014.3,
1961,1990,3,,,,44.8,,1015.4,
1961,1990,4,,,,40.8,,1015.4,
1961,1990,5,,,,57.6,,1015.1,
1961,1990,6,,,,89.9,,1012.1,
1961,1990,7,,,,112.7,,1011.2,
1961,1990,8,,,,117.3,,1013.0,
1961,1990,9,,,,107.8,,1014.1,
1961,1990,10,,,,80.0,,1014.0,
1961,1990,11,,,,60.2,,1013.5,
1961,1990,12,,,,44.7,,1015.0,
1971,2000,1,,,,40.3,,1011.1,
1971,2000,2,,,,29.0,,1015.0,
1971,2000,3,,,,43.7,,1015.1,
1971,2000,4,,,,41.7,,1015.4,
1971,2000,5,,,,51.3,,1015.1,
1971,2000,6,,,,86.9,,1012.3,
1971,2000,7,,,,104.6,,1011.0,
1971,2000,8,,,,107.6,,1013.8,
1971,2000,9,,,,102.0,,1013.9,
1971,2000,10,,,,67.1,,1014.7,
1971,2000,11,,,,54.0,,1013.5,
1971,2000,12,,,,36.3,,1015.3,
1981,2010,1,-24.4,-27.9,-21.0,31.6,,,
1981,2010,2,-25.1,-28.4,-21.8,30.0,,,
1981,2010,3,-21.0,-24.3,-17.8,33.8,,,
1981,2010,4,-13.1,-17.2,-9.0,24.7,,,
1981,2010,5,-2.3,-5.8,1.1,28.9,,,
1981,2010,6,4.0,1.0,6.9,61.4,,,
1981,2010,7,8.8,5.7,12.0,47.1,,,
1981,2010,8,8.2,5.1,11.3,55.2,,,
1981,2010,9,3.5,1.3,5.7,56.7,,,
1981,2010,10,-2.7,-4.9,-0.5,46.4,,,
1981,2010,11,-10.0,-12.6,-7.4,49.5,,,
1981,2010,12,-16.2,-19.2,-13.1,33.4,,,
1991,2020,1,-24.1,-27.5,-20.7,16.3,,,
1991,2020,2,-25.0,-28.4,-21.5,21.5,,,
1991,2020,3,-21.5,-25.2,-17.8,19.1,,,
1991,2020,4,-13.0,-17.0,-8.9,13.2,,,
1991,2020,5,-2.6,-5.7,0.6,11.3,,,
1991,2020,6,4.0,1.0,7.1,32.2,,,
1991,2020,7,8.6,5.2,12.1,31.9,,,
1991,2020,8,8.0,4.9,11.2,31.9,,,
1991,2020,9,3.2,0.7,5.8,28.2,,,
1991,2020,10,-3.2,-5.5,-1.0,31.4,,,
1991,2020,11,-9.8,-12.5,-7.1,37.7,,,
1991,2020,12,-16.8,-19.8,-13.8,23.0,,,
