start,end,month,tavg,tmin,tmax,prcp,wspd,pres,tsun
1981,2010,1,-18.8,-24.9,-12.8,53.5,,,
1981,2010,2,-15.9,-22.5,-9.3,55.0,,,
1981,2010,3,-10.5,-17.8,-3.2,52.4,,,
1981,2010,4,-0.6,-6.7,5.4,57.1,,,
1981,2010,5,7.4,0.8,14.1,64.4,,,
1981,2010,6,13.7,7.0,20.4,88.9,,,
1981,2010,7,16.1,10.1,22.1,118.6,,,
1981,2010,8,14.8,9.0,20.6,101.5,,,
1981,2010,9,10.2,4.8,15.7,113.4,,,
1981,2010,10,3.2,-0.8,7.2,99.8,,,
1981,2010,11,-4.0,-7.6,-0.5,86.7,,,
1981,2010,12,-12.8,-17.7,-8.0,77.7,,,
1991,2020,1,-18.6,-24.5,-12.7,53.3,,,
1991,2020,2,-15.8,-22.4,-9.3,52.5,,,
1991,2020,3,-10.1,-17.4,-2.8,53.1,,,
1991,2020,4,-0.8,-6.7,5.2,59.8,,,
1991,2020,5,7.5,0.9,14.1,65.7,,,
1991,2020,6,13.8,7.3,20.4,93.3,,,
1991,2020,7,16.4,10.4,22.4,115.6,,,
1991,2020,8,14.8,9.2,20.5,110.4,,,
1991,2020,9,10.4,5.1,15.7,112.9,,,
1991,2020,10,3.6,-0.3,7.5,104.4,,,
1991,2020,11,-4.2,-7.7,-0.8,85.9,,,
1991,2020,12,-13.1,-17.8,-8.4,77.6,,,
