start,end,month,tavg,tmin,tmax,prcp,wspd,pres,tsun
1961,1990,1,,,,23.0,,1019.0,6108.8
1961,1990,2,,,,17.0,,1018.0,7646.2
1961,1990,3,,,,17.0,,1015.9,10170.0
1961,1990,4,,,,22.0,,1014.4,14553.8
1961,1990,5,,,,44.0,,1013.0,16350.0
1961,1990,6,,,,80.0,,1011.7,16820.0
1961,1990,7,,,,94.0,,1013.8,18397.5
1961,1990,8,,,,67.0,,1013.9,16443.8
1961,1990,9,,,,42.0,,1015.0,11388.8
1961,1990,10,,,,17.0,,1014.1,10102.5
1961,1990,11,,,,16.0,,1015.5,6378.8
1961,1990,12,,,,22.0,,1017.6,4747.5
1971,2000,1,,,,20.4,,1018.2,6037.1
1971,2000,2,,,,14.5,,1017.7,7677.1
1971,2000,3,,,,15.3,,1015.5,10462.9
1971,2000,4,,,,25.9,,1014.6,14301.0
1971,2000,5,,,,46.8,,1012.8,16362.9
1971,2000,6,,,,87.0,,1011.7,16473.0
1971,2000,7,,,,90.7,,1013.9,18468.0
1971,2000,8,,,,68.1,,1014.3,16473.0
1971,2000,9,,,,42.6,,1015.1,11403.0
1971,2000,10,,,,17.2,,1014.6,10040.0
1971,2000,11,,,,16.2,,1015.5,6264.0
1971,2000,12,,,,19.3,,1017.2,4856.8
1981,2010,1,-11.0,-15.6,-6.5,15.6,,1017.4,6096.0
1981,2010,2,-7.4,-12.3,-2.4,10.4,,1017.8,7456.0
1981,2010,3,-3.0,-7.5,1.6,13.0,,1016.3,10628.0
1981,2010,4,5.6,-0.3,11.5,26.5,,1014.6,14704.3
1981,2010,5,11.3,5.4,17.2,44.2,,1013.1,16720.0
1981,2010,6,15.4,10.1,20.8,70.4,,1012.2,16645.7
1981,2010,7,18.2,12.7,23.7,87.6,,1013.6,18458.6
1981,2010,8,16.8,11.1,22.6,57.9,,1014.2,16782.9
1981,2010,9,12.2,6.3,18.0,40.3,,1015.2,11627.1
1981,2010,10,5.4,0.4,10.5,19.6,,1014.6,10156.0
1981,2010,11,-3.8,-7.6,0.0,14.5,,1015.0,5845.7
1981,2010,12,-10.2,-14.4,-6.0,11.9,,1017.8,5076.9
1991,2020,1,-10.5,-15.1,-5.9,13.9,,1018.5,
1991,2020,2,-7.8,-12.8,-2.8,9.3,,1017.6,
1991,2020,3,-3.4,-7.9,1.1,11.1,,1016.4,
1991,2020,4,5.0,-0.6,10.7,27.6,,1015.1,
1991,2020,5,11.5,5.5,17.5,44.0,,1013.9,
1991,2020,6,15.5,10.2,20.8,68.3,,1012.1,
1991,2020,7,18.3,12.8,23.8,80.5,,1013.6,
1991,2020,8,17.1,11.4,22.8,56.8,,1014.0,
1991,2020,9,12.4,6.5,18.4,32.8,,1014.6,
1991,2020,10,5.5,0.4,10.6,17.7,,1014.7,
1991,2020,11,-4.4,-8.2,-0.5,14.3,,1016.3,
1991,2020,12,-10.0,-14.3,-5.7,9.6,,1017.4,
