start,end,month,tavg,tmin,tmax,prcp,wspd,pres,tsun
1961,1990,1,-18.6,-24.9,-12.4,53.8,,1016.6,
1961,1990,2,-16.3,-23.4,-9.2,41.6,,1018.0,
1961,1990,3,-9.0,-16.2,-1.9,53.3,,1017.3,
1961,1990,4,0.4,-5.9,6.8,53.5,,1015.9,
1961,1990,5,8.6,1.6,15.5,71.1,,1014.9,
1961,1990,6,13.8,6.8,20.8,88.7,,1012.9,
1961,1990,7,17.0,10.2,23.7,101.8,,1013.1,
1961,1990,8,15.3,8.9,21.7,90.8,,1014.4,
1961,1990,9,10.0,4.5,15.5,94.3,,1015.6,
1961,1990,10,4.2,-0.4,8.8,78.3,,1015.4,
1961,1990,11,-4.6,-8.7,-0.5,78.1,,1015.2,
1961,1990,12,-15.0,-20.4,-9.6,54.5,,1016.8,
1971,2000,1,-18.8,-25.0,-12.5,52.2,,1016.8,
1971,2000,2,-15.3,-22.3,-8.3,35.2,,1018.1,
1971,2000,3,-8.6,-15.5,-1.6,52.6,,1017.6,
1971,2000,4,0.5,-6.0,7.0,54.1,,1016.2,
1971,2000,5,9.0,1.9,16.0,65.1,,1014.7,
1971,2000,6,14.4,7.4,21.3,87.1,,1012.8,
1971,2000,7,17.2,10.5,23.9,99.8,,1012.9,
1971,2000,8,15.7,9.2,22.2,79.6,,1014.9,
1971,2000,9,10.0,4.4,15.7,96.4,,1015.1,
1971,2000,10,3.8,-0.7,8.4,80.9,,1015.8,
1971,2000,11,-4.8,-8.8,-0.7,69.3,,1015.4,
1971,2000,12,-14.4,-19.7,-9.1,52.7,,1016.9,
1981,2010,1,-18.0,-24.0,-11.9,45.8,,1017.3,
1981,2010,2,-14.8,-21.6,-8.0,36.0,,1018.1,
1981,2010,3,-8.0,-15.0,-1.1,46.7,,1018.2,
1981,2010,4,1.2,-5.2,7.7,54.8,,1015.7,
1981,2010,5,9.1,2.0,16.2,67.8,,1014.9,
1981,2010,6,14.6,7.7,21.6,80.6,,1012.9,
1981,2010,7,17.4,10.8,24.0,101.4,,1013.1,
1981,2010,8,16.0,9.6,22.5,76.4,,1015.2,
1981,2010,9,11.0,5.4,16.7,101.1,,1014.9,
1981,2010,10,4.0,-0.4,8.5,86.0,,1015.8,
1981,2010,11,-4.0,-8.0,-0.1,71.0,,1015.3,
1981,2010,12,-13.0,-18.0,-8.0,56.9,,1016.7,
1991,2020,1,-17.2,-23.0,-11.5,46.9,,1018.3,
1991,2020,2,-15.2,-21.9,-8.5,36.2,,1017.4,
1991,2020,3,-8.2,-15.2,-1.1,42.8,,1018.3,
1991,2020,4,0.5,-5.9,7.0,58.3,,1016.1,
1991,2020,5,9.1,2.0,16.2,65.9,,1014.9,
1991,2020,6,15.0,8.0,22.1,75.0,,1013.3,
1991,2020,7,17.7,11.2,24.2,95.5,,1012.4,
1991,2020,8,16.3,9.9,22.7,79.4,,1014.9,
1991,2020,9,11.6,5.8,17.4,103.0,,1014.4,
1991,2020,10,4.3,-0.1,8.7,85.7,,1015.4,
1991,2020,11,-3.8,-7.6,0.1,67.4,,1015.6,
1991,2020,12,-12.1,-16.9,-7.4,54.6,,1016.9,
