start,end,month,tavg,tmin,tmax,prcp,wspd,pres,tsun
1971,2000,1,-14.4,-19.2,-9.6,,,,
1971,2000,2,-8.9,-13.4,-4.4,,,,
1971,2000,3,-3.9,-8.9,1.1,,,,
1971,2000,4,4.0,-1.7,9.7,,,,
1971,2000,5,10.7,4.4,17.0,,,,
1971,2000,6,15.0,9.0,21.1,,,,
1971,2000,7,18.3,11.6,25.0,,,,
1971,2000,8,18.2,11.2,25.1,,,,
1971,2000,9,11.6,5.1,18.0,,,,
1971,2000,10,5.6,-0.2,11.5,,,,
1971,2000,11,-3.6,-8.4,1.1,,,,
1971,2000,12,-10.5,-15.5,-5.5,,,,
1981,2010,1,-10.7,-15.4,-6.0,,,,
1981,2010,2,-8.5,-13.0,-4.0,,,,
1981,2010,3,-3.4,-8.3,1.6,,,,
1981,2010,4,4.8,-1.3,10.9,,,,
1981,2010,5,9.8,3.6,16.0,,,,
1981,2010,6,14.1,8.5,19.7,,,,
1981,2010,7,19.5,12.3,26.7,,,,
1981,2010,8,18.6,11.6,25.6,,,,
1981,2010,9,12.8,6.2,19.3,,,,
1981,2010,10,4.9,-0.7,10.4,,,,
1981,2010,11,-1.6,-6.5,3.3,,,,
1981,2010,12,-9.2,-13.9,-4.5,,,,
1991,2020,1,-10.2,-15.0,-5.5,10.6,,,
1991,2020,2,-9.4,-14.1,-4.7,12.2,,,
1991,2020,3,-3.4,-8.4,1.5,15.5,,,
1991,2020,4,4.3,-1.8,10.4,28.9,,,
1991,2020,5,10.3,4.0,16.6,60.2,,,
1991,2020,6,14.8,8.8,20.8,53.5,,,
1991,2020,7,19.4,12.3,26.5,29.5,,,
1991,2020,8,18.6,11.5,25.6,29.9,,,
1991,2020,9,12.8,6.1,19.6,28.4,,,
1991,2020,10,4.8,-0.8,10.3,32.1,,,
1991,2020,11,-2.0,-6.8,2.9,16.8,,,
1991,2020,12,-9.0,-13.5,-4.5,20.0,,,
