start,end,month,tavg,tmin,tmax,prcp,wspd,pres,tsun
1971,2000,1,-19.2,-26.0,-12.4,35.7,,,
1971,2000,2,-15.4,-22.8,-8.1,23.9,,,
1971,2000,3,-9.0,-16.6,-1.5,30.5,,,
1971,2000,4,0.5,-6.5,7.4,43.6,,,
1971,2000,5,8.4,1.4,15.5,69.1,,,
1971,2000,6,14.2,7.4,20.9,86.1,,,
1971,2000,7,16.9,10.4,23.4,111.7,,,
1971,2000,8,15.8,9.3,22.2,82.9,,,
1971,2000,9,9.8,4.3,15.3,100.4,,,
1971,2000,10,3.0,-1.4,7.5,80.6,,,
1971,2000,11,-6.1,-10.6,-1.6,59.4,,,
1971,2000,12,-14.8,-20.4,-9.3,34.3,,,
1981,2010,1,-18.6,-25.1,-12.1,33.5,,,
1981,2010,2,-15.8,-23.1,-8.4,23.8,,,
1981,2010,3,-8.9,-16.4,-1.4,31.9,,,
1981,2010,4,0.8,-6.0,7.5,45.5,,,
1981,2010,5,8.4,1.5,15.4,71.7,,,
1981,2010,6,14.3,7.6,21.0,84.5,,,
1981,2010,7,17.1,10.7,23.5,108.6,,,
1981,2010,8,16.0,9.6,22.3,83.6,,,
1981,2010,9,10.4,4.9,16.0,101.6,,,
1981,2010,10,3.2,-1.1,7.6,83.4,,,
1981,2010,11,-5.4,-9.7,-1.0,58.7,,,
1981,2010,12,-14.2,-19.6,-8.9,36.8,,,
1991,2020,1,-18.0,-24.1,-11.9,35.0,,1016.6,
1991,2020,2,-16.0,-23.2,-8.8,25.3,,1017.9,
1991,2020,3,-8.7,-16.1,-1.3,31.4,,1019.1,
1991,2020,4,-0.1,-6.8,6.6,48.5,,1016.5,
1991,2020,5,8.3,1.5,15.1,74.4,,1016.0,
1991,2020,6,14.6,8.0,21.3,80.5,,1013.4,
1991,2020,7,17.4,11.1,23.6,99.5,,1012.6,
1991,2020,8,16.1,9.9,22.3,75.4,,1013.9,
1991,2020,9,10.8,5.2,16.5,103.1,,1015.8,
1991,2020,10,3.4,-0.8,7.6,81.4,,1014.4,
1991,2020,11,-5.0,-9.2,-0.9,51.8,,1016.1,
1991,2020,12,-13.2,-18.2,-8.2,35.7,,1017.6,
