start,end,month,tavg,tmin,tmax,prcp,wspd,pres,tsun
1961,1990,1,3.2,1.4,5.1,310.4,,,
1961,1990,2,4.6,2.6,6.5,240.6,,,
1961,1990,3,5.6,3.2,7.9,222.5,,,
1961,1990,4,7.2,4.6,9.9,190.2,,,
1961,1990,5,9.6,6.9,12.3,155.4,,,
1961,1990,6,12.0,9.3,14.6,129.1,,,
1961,1990,7,13.8,11.3,16.4,100.2,,,
1961,1990,8,14.2,11.8,16.7,137.1,,,
1961,1990,9,12.8,10.5,15.2,208.1,,,
1961,1990,10,9.6,7.7,11.5,345.9,,,
1961,1990,11,5.9,4.1,7.7,333.2,,,
1961,1990,12,4.0,2.3,5.8,289.2,,,
1971,2000,1,3.8,2.1,5.6,276.3,,,
1971,2000,2,4.6,2.7,6.6,226.7,,,
1971,2000,3,5.9,3.6,8.2,230.4,,,
1971,2000,4,7.6,5.1,10.2,194.1,,,
1971,2000,5,9.9,7.3,12.5,147.9,,,
1971,2000,6,12.1,9.6,14.6,141.4,,,
1971,2000,7,14.0,11.5,16.5,100.1,,,
1971,2000,8,14.4,12.0,16.9,129.4,,,
1971,2000,9,13.0,10.6,15.4,197.2,,,
1971,2000,10,9.8,7.8,11.7,319.4,,,
1971,2000,11,6.3,4.5,8.1,340.5,,,
1971,2000,12,4.6,2.9,6.4,295.8,,,
1981,2010,1,4.6,2.9,6.3,297.0,,,
1981,2010,2,5.0,3.1,7.0,213.7,,,
1981,2010,3,6.1,3.9,8.3,255.3,,,
1981,2010,4,7.8,5.4,10.3,204.6,,,
1981,2010,5,10.2,7.7,12.7,145.2,,,
1981,2010,6,12.5,10.0,15.0,132.5,,,
1981,2010,7,14.2,11.7,16.6,109.5,,,
1981,2010,8,14.7,12.3,17.1,135.5,,,
1981,2010,9,13.1,10.8,15.4,212.9,,,
1981,2010,10,9.9,8.0,11.8,330.2,,,
1981,2010,11,6.5,4.7,8.3,354.1,,,
1981,2010,12,4.8,3.0,6.6,294.0,,,
1991,2020,1,4.6,2.9,6.4,283.0,,,
1991,2020,2,5.0,3.0,7.0,182.4,,,
1991,2020,3,5.9,3.8,8.1,248.9,,,
1991,2020,4,8.1,5.7,10.5,188.8,,,
1991,2020,5,10.5,8.1,12.9,128.0,,,
1991,2020,6,12.7,10.3,15.1,126.6,,,
1991,2020,7,14.4,12.0,16.7,112.8,,,
1991,2020,8,14.9,12.6,17.2,138.8,,,
1991,2020,9,13.4,11.3,15.6,207.6,,,
1991,2020,10,10.1,8.2,12.0,308.9,,,
1991,2020,11,7.0,5.3,8.8,354.2,,,
1991,2020,12,5.1,3.3,6.9,278.6,,,
