start,end,month,tavg,tmin,tmax,prcp,wspd,pres,tsun
1961,1990,1,,,,385.0,,,
1961,1990,2,,,,318.0,,,
1961,1990,3,,,,292.0,,,
1961,1990,4,,,,232.0,,,
1961,1990,5,,,,120.0,,,
1961,1990,6,,,,97.0,,,
1961,1990,7,,,,88.0,,,
1961,1990,8,,,,90.0,,,
1961,1990,9,,,,172.0,,,
1961,1990,10,,,,376.0,,,
1961,1990,11,,,,421.0,,,
1961,1990,12,,,,436.0,,,
1971,2000,1,,,,415.7,,,
1971,2000,2,,,,302.2,,,
1971,2000,3,,,,255.0,,,
1971,2000,4,,,,219.9,,,
1971,2000,5,,,,130.4,,,
1971,2000,6,,,,141.7,,,
1971,2000,7,,,,69.4,,,
1971,2000,8,,,,98.4,,,
1971,2000,9,,,,105.7,,,
1971,2000,10,,,,324.8,,,
1971,2000,11,,,,374.5,,,
1971,2000,12,,,,339.6,,,
1981,2010,1,6.1,3.5,8.7,429.5,,1014.7,
1981,2010,2,6.2,3.0,9.4,254.3,,1015.3,
1981,2010,3,6.5,3.5,9.5,274.3,,1015.7,
1981,2010,4,8.2,4.8,11.6,220.8,,1016.6,
1981,2010,5,10.8,7.5,14.0,130.3,,1017.8,
1981,2010,6,13.0,10.1,16.0,109.2,,1017.6,
1981,2010,7,14.6,11.8,17.5,73.1,,1018.3,
1981,2010,8,14.7,11.8,17.6,81.7,,1017.2,
1981,2010,9,13.8,10.6,17.0,120.9,,1016.7,
1981,2010,10,10.5,7.5,13.5,316.5,,1016.1,
1981,2010,11,7.7,4.9,10.5,417.4,,1013.9,
1981,2010,12,5.8,3.2,8.3,346.9,,1013.8,
1991,2020,1,6.1,3.7,8.4,422.8,,1015.0,
1991,2020,2,5.9,2.9,8.8,244.0,,1015.5,
1991,2020,3,6.6,3.6,9.5,276.4,,1015.2,
1991,2020,4,8.3,5.1,11.5,220.0,,1016.9,
1991,2020,5,11.0,7.9,14.0,118.2,,1017.5,
1991,2020,6,13.0,10.2,15.7,109.6,,1017.5,
1991,2020,7,14.6,11.9,17.4,68.2,,1018.2,
1991,2020,8,14.8,12.0,17.7,84.6,,1017.0,
1991,2020,9,13.8,10.8,16.9,147.2,,1016.3,
1991,2020,10,10.5,7.7,13.3,317.2,,1016.4,
1991,2020,11,7.6,5.0,10.3,400.0,,1014.5,
1991,2020,12,5.7,3.3,8.1,365.5,,1014.7,
