start,end,month,tavg,tmin,tmax,prcp,wspd,pres,tsun
1961,1990,1,,-21.7,,15.1,,,
1961,1990,2,,-18.3,,11.1,,,
1961,1990,3,,-11.3,,18.7,,,
1961,1990,4,,-2.5,,21.7,,,
1961,1990,5,,4.8,,52.2,,,
1961,1990,6,,9.0,,57.9,,,
1961,1990,7,,11.6,,55.6,,,
1961,1990,8,,9.5,,32.2,,,
1961,1990,9,,4.2,,30.0,,,
1961,1990,10,,-1.8,,14.6,,,
1961,1990,11,,-12.5,,12.8,,,
1961,1990,12,,-21.6,,22.4,,,
1971,2000,1,-16.2,-22.6,-9.9,14.2,,,
1971,2000,2,-12.5,-17.8,-7.2,11.8,,,
1971,2000,3,-5.6,-11.0,-0.1,16.2,,,
1971,2000,4,4.6,-2.4,11.6,23.2,,,
1971,2000,5,11.9,4.6,19.2,50.2,,,
1971,2000,6,16.2,9.1,23.3,71.4,,,
1971,2000,7,18.7,11.4,26.0,51.4,,,
1971,2000,8,17.2,9.6,24.9,34.5,,,
1971,2000,9,11.8,4.2,19.4,28.4,,,
1971,2000,10,4.6,-1.8,11.1,18.1,,,
1971,2000,11,-6.0,-11.5,-0.4,11.8,,,
1971,2000,12,-14.4,-20.7,-8.1,23.8,,,
1981,2010,1,-14.4,-20.4,-8.4,15.8,,,
1981,2010,2,-13.3,-18.9,-7.7,9.0,,,
1981,2010,3,-5.8,-11.2,-0.5,17.0,,,
1981,2010,4,4.2,-2.6,11.1,30.8,,,
1981,2010,5,10.4,3.5,17.4,42.5,,,
1981,2010,6,15.6,8.9,22.2,73.7,,,
1981,2010,7,18.2,11.3,25.2,61.1,,,
1981,2010,8,17.2,9.8,24.7,47.9,,,
1981,2010,9,11.6,4.3,18.8,37.4,,,
1981,2010,10,3.6,-2.5,9.8,23.9,,,
1981,2010,11,-4.8,-10.1,0.5,12.6,,,
1981,2010,12,-13.5,-19.3,-7.7,19.5,,,
1991,2020,1,-14.4,-20.2,-8.5,12.3,,,
1991,2020,2,-13.7,-19.8,-7.6,8.4,,,
1991,2020,3,-6.6,-12.5,-0.7,12.8,,,
1991,2020,4,3.3,-3.6,10.2,26.5,,,
1991,2020,5,10.3,3.0,17.6,40.1,,,
1991,2020,6,15.2,8.8,21.7,84.6,,,
1991,2020,7,18.2,11.3,25.1,54.9,,,
1991,2020,8,17.0,9.4,24.7,50.0,,,
1991,2020,9,11.9,4.6,19.1,35.9,,,
1991,2020,10,3.6,-2.6,9.8,25.7,,,
1991,2020,11,-4.7,-9.9,0.5,12.8,,,
1991,2020,12,-12.5,-17.8,-7.2,13.2,,,
