start,end,month,tavg,tmin,tmax,prcp,wspd,pres,tsun
1961,1990,1,-15.7,-20.5,-10.9,14.6,,,
1961,1990,2,-11.7,-16.8,-6.6,12.6,,,
1961,1990,3,-5.5,-10.4,-0.6,18.2,,,
1961,1990,4,4.6,-1.5,10.8,17.9,,,
1961,1990,5,11.8,4.7,18.8,39.6,,,
1961,1990,6,16.4,9.6,23.3,60.4,,,
1961,1990,7,19.0,12.2,25.9,54.0,,,
1961,1990,8,17.9,10.7,25.1,34.8,,,
1961,1990,9,12.2,5.7,18.6,27.2,,,
1961,1990,10,5.9,-0.1,11.8,12.6,,,
1961,1990,11,-4.8,-9.4,-0.1,12.8,,,
1961,1990,12,-13.0,-17.8,-8.3,17.4,,,
1971,2000,1,-15.2,-20.0,-10.4,13.9,,,
1971,2000,2,-10.9,-16.0,-5.8,9.9,,,
1971,2000,3,-4.0,-8.7,0.7,16.8,,,
1971,2000,4,4.8,-1.4,11.0,22.4,,,
1971,2000,5,11.8,4.9,18.7,44.3,,,
1971,2000,6,16.4,9.8,22.9,63.7,,,
1971,2000,7,18.6,11.9,25.3,56.4,,,
1971,2000,8,17.8,10.7,24.8,37.8,,,
1971,2000,9,12.1,5.5,18.7,25.6,,,
1971,2000,10,5.6,-0.4,11.6,14.1,,,
1971,2000,11,-4.8,-9.3,-0.3,13.3,,,
1971,2000,12,-12.5,-17.4,-7.7,18.0,,,
1981,2010,1,-12.8,-17.8,-7.9,14.3,,,
1981,2010,2,-10.5,-15.7,-5.3,8.6,,,
1981,2010,3,-3.4,-8.2,1.3,18.0,,,
1981,2010,4,5.0,-1.3,11.4,22.0,,,
1981,2010,5,11.3,4.4,18.2,44.5,,,
1981,2010,6,16.0,9.6,22.4,62.3,,,
1981,2010,7,18.8,12.1,25.5,54.8,,,
1981,2010,8,17.8,10.8,24.8,43.0,,,
1981,2010,9,12.4,5.7,19.1,34.1,,,
1981,2010,10,5.0,-0.9,11.0,16.9,,,
1981,2010,11,-4.0,-8.5,0.4,15.0,,,
1981,2010,12,-11.5,-16.2,-6.8,15.7,,,
1991,2020,1,-12.6,-17.6,-7.7,14.0,,,
1991,2020,2,-11.4,-16.8,-5.9,8.7,,,
1991,2020,3,-4.2,-9.2,0.7,14.9,,,
1991,2020,4,4.4,-1.9,10.6,22.5,,,
1991,2020,5,11.1,4.1,18.2,38.2,,,
1991,2020,6,16.0,9.8,22.2,67.7,,,
1991,2020,7,18.6,12.2,25.1,53.1,,,
1991,2020,8,17.8,10.7,24.8,47.0,,,
1991,2020,9,12.7,5.9,19.5,33.5,,,
1991,2020,10,5.0,-0.8,10.8,21.4,,,
1991,2020,11,-3.9,-8.3,0.6,15.5,,,
1991,2020,12,-10.6,-15.0,-6.1,12.4,,,
