start,end,month,tavg,tmin,tmax,prcp,wspd,pres,tsun
1961,1990,1,3.0,1.1,4.8,191.5,,,
1961,1990,2,3.8,1.9,5.7,148.8,,,
1961,1990,3,4.4,2.2,6.6,139.9,,,
1961,1990,4,5.8,3.3,8.3,134.5,,,
1961,1990,5,8.0,5.5,10.5,105.3,,,
1961,1990,6,10.2,8.0,12.5,92.8,,,
1961,1990,7,12.3,10.2,14.4,85.3,,,
1961,1990,8,13.2,11.0,15.3,110.5,,,
1961,1990,9,12.1,9.9,14.3,179.1,,,
1961,1990,10,9.0,6.9,11.1,270.6,,,
1961,1990,11,5.4,3.5,7.3,210.6,,,
1961,1990,12,3.6,1.8,5.5,206.2,,,
1971,2000,1,3.3,1.5,5.1,198.0,,,
1971,2000,2,3.8,1.8,5.7,153.0,,,
1971,2000,3,4.6,2.3,6.8,152.3,,,
1971,2000,4,6.1,3.5,8.7,136.2,,,
1971,2000,5,8.2,5.7,10.7,106.9,,,
1971,2000,6,10.3,8.0,12.6,95.0,,,
1971,2000,7,12.4,10.4,14.5,93.9,,,
1971,2000,8,13.2,11.1,15.4,116.8,,,
1971,2000,9,12.1,9.9,14.3,185.4,,,
1971,2000,10,9.0,6.9,11.1,269.2,,,
1971,2000,11,5.6,3.7,7.5,231.7,,,
1971,2000,12,3.9,2.0,5.8,223.7,,,
1981,2010,1,3.9,2.1,5.7,199.9,,,
1981,2010,2,4.1,2.2,6.0,140.5,,,
1981,2010,3,4.6,2.3,6.8,154.5,,,
1981,2010,4,6.2,3.6,8.8,131.7,,,
1981,2010,5,8.4,6.0,10.9,104.9,,,
1981,2010,6,10.8,8.4,13.1,93.9,,,
1981,2010,7,12.6,10.6,14.7,91.2,,,
1981,2010,8,13.5,11.3,15.7,128.8,,,
1981,2010,9,12.2,10.0,14.4,186.4,,,
1981,2010,10,9.0,7.0,11.1,260.8,,,
1981,2010,11,5.6,3.7,7.6,231.8,,,
1981,2010,12,4.1,2.3,5.9,210.9,,,
1991,2020,1,4.0,2.2,5.8,182.3,,,
1991,2020,2,4.0,2.1,6.0,132.7,,,
1991,2020,3,4.4,2.0,6.7,140.2,,,
1991,2020,4,6.4,3.8,9.0,124.0,,,
1991,2020,5,8.7,6.2,11.2,89.2,,,
1991,2020,6,11.0,8.6,13.3,94.2,,,
1991,2020,7,12.9,10.8,15.0,97.7,,,
1991,2020,8,13.8,11.6,15.9,130.9,,,
1991,2020,9,12.4,10.2,14.6,180.5,,,
1991,2020,10,9.2,7.2,11.3,234.4,,,
1991,2020,11,6.0,4.1,7.9,220.7,,,
1991,2020,12,4.4,2.5,6.2,205.9,,,
