start,end,month,tavg,tmin,tmax,prcp,wspd,pres,tsun
1981,2010,1,-10.9,-16.2,-5.6,85.1,,,
1981,2010,2,-9.4,-14.9,-3.9,65.5,,,
1981,2010,3,-3.8,-9.0,1.5,88.8,,,
1981,2010,4,3.2,-1.9,8.3,77.7,,,
1981,2010,5,9.6,3.6,15.7,103.1,,,
1981,2010,6,15.8,9.4,22.2,96.9,,,
1981,2010,7,19.0,13.2,24.8,100.8,,,
1981,2010,8,18.2,12.0,24.3,82.0,,,
1981,2010,9,13.5,7.4,19.6,84.2,,,
1981,2010,10,6.8,1.7,11.8,122.8,,,
1981,2010,11,0.8,-3.4,5.0,104.0,,,
1981,2010,12,-6.0,-10.3,-1.6,96.2,,,
1991,2020,1,-10.6,-15.9,-5.3,79.2,,,
1991,2020,2,-9.4,-15.0,-3.9,66.8,,,
1991,2020,3,-3.6,-8.9,1.8,85.1,,,
1991,2020,4,3.1,-2.0,8.2,77.0,,,
1991,2020,5,9.6,3.6,15.7,104.9,,,
1991,2020,6,15.5,9.3,21.7,94.7,,,
1991,2020,7,19.0,13.1,25.0,97.6,,,
1991,2020,8,18.2,12.2,24.3,83.9,,,
1991,2020,9,13.4,7.3,19.6,88.3,,,
1991,2020,10,7.0,1.9,12.0,124.3,,,
1991,2020,11,0.7,-3.6,4.9,95.2,,,
1991,2020,12,-6.2,-10.6,-1.8,95.2,,,
