start,end,month,tavg,tmin,tmax,prcp,wspd,pres,tsun
1961,1990,1,-17.4,-22.4,-12.3,65.0,,1008.6,5808.0
1961,1990,2,-15.6,-21.2,-9.9,57.0,,1010.0,7302.0
1961,1990,3,-9.2,-15.0,-3.5,69.0,,1011.6,7950.0
1961,1990,4,-1.8,-6.7,3.1,57.0,,1013.6,8922.0
1961,1990,5,5.1,-0.2,10.3,66.0,,1013.5,11262.0
1961,1990,6,10.9,5.1,16.6,101.0,,1010.4,11070.0
1961,1990,7,15.4,9.8,21.1,119.0,,1009.3,12402.0
1961,1990,8,14.2,9.0,19.4,98.0,,1010.6,10476.0
1961,1990,9,9.0,4.2,13.7,91.0,,1011.7,6960.0
1961,1990,10,2.4,-1.5,6.4,79.0,,1011.7,5592.0
1961,1990,11,-4.0,-7.7,-0.4,80.0,,1010.9,4104.0
1961,1990,12,-13.5,-17.9,-9.1,78.0,,1010.5,4614.0
1971,2000,1,-18.0,-23.2,-12.9,64.6,,1009.0,5711.5
1971,2000,2,-16.1,-21.8,-10.4,54.2,,1010.9,7629.2
1971,2000,3,-9.4,-15.2,-3.6,69.5,,1012.1,8285.0
1971,2000,4,-1.7,-6.6,3.2,65.1,,1013.9,9030.0
1971,2000,5,5.1,-0.3,10.5,66.0,,1013.9,10825.0
1971,2000,6,11.0,5.2,16.8,96.5,,1010.8,10973.1
1971,2000,7,15.3,9.7,20.9,113.0,,1009.3,11620.8
1971,2000,8,14.4,9.0,19.8,100.0,,1011.0,11205.0
1971,2000,9,9.2,4.5,13.9,98.4,,1011.1,7228.8
1971,2000,10,2.4,-1.4,6.3,79.8,,1012.3,5232.0
1971,2000,11,-4.4,-8.0,-0.7,76.5,,1010.9,4536.0
1971,2000,12,-13.9,-18.4,-9.4,69.0,,1010.3,4500.0
1981,2010,1,-17.5,-22.4,-12.6,64.7,,1008.7,5676.0
1981,2010,2,-15.5,-21.1,-9.9,56.0,,1011.1,7318.0
1981,2010,3,-9.4,-15.2,-3.5,65.3,,1012.9,8749.3
1981,2010,4,-1.1,-6.1,3.9,63.3,,1014.1,9902.0
1981,2010,5,5.5,0.0,11.0,69.2,,1013.9,11515.7
1981,2010,6,11.3,5.6,17.0,92.1,,1010.7,11148.0
1981,2010,7,15.4,10.0,20.9,120.5,,1009.5,12148.0
1981,2010,8,15.0,9.6,20.4,100.8,,1010.7,11675.2
1981,2010,9,10.0,5.1,14.9,94.2,,1011.3,8112.4
1981,2010,10,3.2,-0.5,7.0,81.0,,1012.4,5494.0
1981,2010,11,-3.8,-7.5,-0.2,73.2,,1011.7,4649.0
1981,2010,12,-12.5,-16.8,-8.2,64.4,,1009.7,4397.8
1991,2020,1,-16.9,-21.6,-12.2,66.8,,1009.1,5608.7
1991,2020,2,-15.8,-21.3,-10.3,55.1,,1010.5,7327.8
1991,2020,3,-9.3,-15.1,-3.5,63.9,,1013.2,8768.2
1991,2020,4,-1.4,-6.4,3.6,62.9,,1013.6,10218.3
1991,2020,5,5.6,0.1,11.0,70.0,,1014.2,11528.6
1991,2020,6,11.6,6.0,17.3,88.4,,1011.4,11481.8
1991,2020,7,15.8,10.5,21.2,111.3,,1009.5,12049.1
1991,2020,8,15.5,10.2,20.8,107.2,,1010.6,11929.1
1991,2020,9,10.2,5.3,15.2,89.1,,1011.3,8825.7
1991,2020,10,3.9,0.2,7.6,87.8,,1012.3,5228.2
1991,2020,11,-3.5,-7.1,0.1,75.8,,1012.1,4800.0
1991,2020,12,-11.6,-15.8,-7.3,62.4,,1010.3,4404.0
